evo-1,evo-2,evo-3,evo-4,evo-5,evo-6,evo-7,evo-8,evo-9,evo-10,evo-11,evo-12,evo-13,evo-14,evo-15,evo-16,evo-17,evo-18,evo-19,evo-20,evo-21,evo-22,evo-23,evo-24,evo-25,evo-26,evo-27
sense-faced-resource0,nop-C,phero-on,set-flow,nop-C,shift-r,if-label,sense-pheromone,get-head,if-label,if-label,donate-res-to-deme,nand,nop-C,sense-pheromone,nop-C,rotate-l,shift-l,add,tumble,if-n-equ,nop-C,rotate-l,nop-C,get-head,if-not-pheromone,nop-C
dec,inc,add,nop-C,if-resources,rotate-l,inc,shift-r,nop-C,sense-resource0,donate-res-to-deme,nop-A,nop-C,nop-C,pop,nop-C,inc,swap-stk,sense-pheromone-faced,nop-C,nop-C,if-n-equ,phero-off,if-less,nop-C,if-pheromone,nop-C
nop-C,nop-C,nop-C,if-resources,inc,nop-C,nop-C,exploit,shift-l,shift-l,nop-C,exploit,nop-C,set-flow,nop-C,shift-r,set-flow,nop-C,push,get-head,nop-B,tumble,phero-off,nop-C,sense-faced-resource0,nop-C,nop-C
nop-A,nop-C,if-resources,nop-C,nop-C,nop-C,set-flow,nop-C,nop-C,if-not-pheromone,nop-C,if-less,if-resources,swap-stk,nop-C,move,nop-C,swap-stk,nop-C,nop-C,donate-res-to-deme,nop-C,shift-l,if-not-pheromone,if-pheromone,nop-C,nop-C
explore,sense-pheromone-faced,nop-C,donate-res-to-deme,nop-C,nop-C,if-resources,nop-C,if-pheromone,nand,dec,phero-off,jmp-head,exploit,nop-C,push,if-n-equ,pop,IO,if-not-pheromone,nop-C,nop-C,swap-stk,rotate-r,nop-C,move,nop-C
exploit,dec,nop-C,nop-C,exploit,move,if-less,rotate-r,swap-stk,nop-A,nop-B,nop-C,nop-C,nop-A,nop-C,swap-stk,nop-C,if-resources,nop-C,push,if-resources,sense-pheromone,nop-C,rotate-l,explore,nop-C,push
if-pheromone,nop-C,nop-C,rotate-l,nop-C,rotate-l,tumble,exploit,if-resources,nop-C,nop-C,if-resources,nop-C,nop-C,nop-C,dec,pop,if-resources,dec,nop-C,tumble,move,nop-C,move,nop-C,sense-pheromone,nop-C
dec,nop-C,nop-C,if-resources,h-search,shift-l,nop-C,nop-B,jmp-head,nop-C,nop-C,jmp-head,nop-C,nop-C,nop-C,inc,push,if-resources,if-less,shift-l,nop-C,nop-C,nop-C,swap-stk,nop-C,nop-C,shift-l
tumble,nop-C,h-search,dec,if-label,add,nop-C,nop-C,nop-C,sense-pheromone-faced,if-resources,if-resources,h-search,nop-B,nop-C,phero-off,if-resources,nop-C,add,shift-l,pop,nand,if-less,if-resources,if-resources,IO,set-flow
nop-C,if-resources,if-label,nop-C,nop-C,nop-C,sense-faced-resource0,swap,set-flow,move,phero-on,nop-C,h-search,if-resources,nop-C,if-resources,if-not-pheromone,add,h-search,nop-C,nop-C,nop-C,shift-l,swap-stk,inc,inc,nop-C
sub,inc,mov-head,rotate-r,rotate-r,h-search,nop-A,mov-head,sense-resource0,get-head,nop-C,exploit,if-label,if-resources,if-resources,swap,nop-C,nop-C,if-not-pheromone,nop-C,nop-C,nop-C,if-pheromone,rotate-r,if-n-equ,nop-C,if-pheromone
